Image_Name,Az_enc,Alt_enc,GT_Cam_x,GT_Cam_y,GT_Cam_z,Star1_u,Star1_v,Star1_Cam_x,Star1_Cam_y,Star1_Cam_z,Star1_J2K_x,Star1_J2K_y,Star1_J2K_z,Star2_u,Star2_v,Star2_Cam_x,Star2_Cam_y,Star2_Cam_z,Star2_J2K_x,Star2_J2K_y,Star2_J2K_z,Star3_u,Star3_v,Star3_Cam_x,Star3_Cam_y,Star3_Cam_z,Star3_J2K_x,Star3_J2K_y,Star3_J2K_z
sim_Az0.00_Alt45.00_F50_x-0.0461_y-0.9309_z0.3624.jpg,0.00,45.00,-0.0461,-0.9309,0.3624,53.00,403.00,-0.090321,-0.013643,0.995819,0.000237,-0.957567,0.288211,819.00,34.00,-0.014081,-0.050530,0.998623,0.006084,-0.929785,0.368052,1662.93,238.29,0.070088,-0.030083,0.997087,-0.043971,-0.900588,0.432443
sim_Az120.00_Alt45.00_F50_x0.4356_y0.0850_z0.8961.jpg,120.00,45.00,0.4356,0.0850,0.8961,1521.59,651.50,0.056067,0.011132,0.998365,0.474230,0.119800,0.872212,1783.06,586.06,0.082028,0.004590,0.996619,0.496751,0.125379,0.858789,1012.06,293.06,0.005204,-0.024686,0.999682,0.450342,0.065296,0.890465
sim_Az150.00_Alt45.00_F50_x0.7153_y0.1874_z0.6733.jpg,150.00,45.00,0.7153,0.1874,0.6733,1630.77,559.31,0.066927,0.001926,0.997756,0.758737,0.191838,0.622508,1209.00,277.00,0.024884,-0.026283,0.999345,0.736070,0.162558,0.657097,59.21,746.21,-0.089697,0.020533,0.995757,0.647927,0.202744,0.734225
sim_Az180.00_Alt15.00_F50_x0.7868_y-0.3467_z0.5106.jpg,180.00,15.00,0.7868,-0.3467,0.5106,1392.50,483.15,0.043209,-0.005679,0.999050,0.799888,-0.367389,0.474558,1635.00,515.00,0.067347,-0.002494,0.997727,0.809630,-0.373239,0.452981,1604.42,833.58,0.064281,0.029284,0.997502,0.823668,-0.344670,0.450304
sim_Az180.00_Alt25.00_F50_x0.8580_y-0.1912_z0.4768.jpg,180.00,25.00,0.8580,-0.1912,0.4768,1493.50,587.50,0.053274,0.004743,0.998569,0.878892,-0.206497,0.430009,67.14,293.35,-0.088906,-0.024560,0.995737,0.811710,-0.179400,0.555826,513.00,843.50,-0.044635,0.030306,0.998544,0.849818,-0.146684,0.506254
sim_Az180.00_Alt35.00_F50_x0.9029_y-0.0298_z0.4287.jpg,180.00,35.00,0.9029,-0.0298,0.4287,923.55,750.72,-0.003644,0.021068,0.999771,0.905220,-0.008855,0.424851,1695.50,1.42,0.073246,-0.053636,0.995871,0.917704,-0.106716,0.382663,1344.35,871.50,0.038386,0.033107,0.998714,0.922791,-0.013323,0.385070
sim_Az180.00_Alt45.00_F50_x0.9204_y0.1326_z0.3679.jpg,180.00,45.00,0.9204,0.1326,0.3679,1627.76,633.50,0.066625,0.009329,0.997735,0.944512,0.116184,0.307244,283.69,863.61,-0.067441,0.032270,0.997201,0.892265,0.186960,0.410987,1168.00,627.50,0.020795,0.008748,0.999745,0.928455,0.132941,0.346839
sim_Az180.00_Alt55.00_F50_x0.9097_y0.2911_z0.2961.jpg,180.00,55.00,0.9097,0.2911,0.2961,363.00,243.00,-0.059568,-0.029634,0.997784,0.888366,0.286311,0.358932,337.17,942.56,-0.062113,0.040145,0.997261,0.877395,0.348695,0.329529,215.44,719.83,-0.074238,0.017931,0.997079,0.875489,0.333510,0.349699
sim_Az180.00_Alt65.00_F50_x0.8713_y0.4408_z0.2155.jpg,180.00,65.00,0.8713,0.4408,0.2155,1498.19,757.64,0.053728,0.021727,0.998319,0.884687,0.438176,0.159157,473.25,1005.39,-0.048565,0.046433,0.997740,0.836642,0.495699,0.233050,1888.35,549.50,0.092438,0.000946,0.995718,0.903745,0.405806,0.136261
sim_Az180.00_Alt75.00_F50_x0.8064_y0.5773_z0.1286.jpg,180.00,75.00,0.8064,0.5773,0.1286,956.25,61.00,-0.000375,-0.047845,0.998855,0.826338,0.541769,0.153791,670.00,653.00,-0.028986,0.011295,0.999516,0.789530,0.595817,0.147120,1898.81,896.57,0.093411,0.035479,0.994995,0.823662,0.566249,0.030703
